2026-05-27 11:06:23.664736000,1849848.0,1144.0,1617.0,-1.0,-1.0,-1.0,3784.6647
2026-05-27 11:06:24.305770000,1842901.3269043565,1138.999755859375,1617.999755859375,-1.0,-1.0,-1.0,3785.3058
2026-05-27 11:06:24.946804000,1841099.3273926377,1139.999755859375,1614.999755859375,-1.0,-1.0,-1.0,3785.9468
2026-05-27 11:06:25.587838000,1842715.0,1141.0,1615.0,-1.0,-1.0,-1.0,3786.5878
2026-05-27 11:06:26.228872000,1845471.3266602159,1141.999755859375,1615.999755859375,-1.0,-1.0,-1.0,3787.2289
2026-05-27 11:06:26.869906000,1848420.0,1141.0,1620.0,-1.0,-1.0,-1.0,3787.8699
2026-05-27 11:06:27.510940000,1848420.0,1141.0,1620.0,-1.0,-1.0,-1.0,3788.5109
2026-05-27 11:06:28.151974000,1846614.0,1142.0,1617.0,-1.0,-1.0,-1.0,3789.152
2026-05-27 11:06:28.793008000,1845179.3264160752,1138.999755859375,1619.999755859375,-1.0,-1.0,-1.0,3789.793
2026-05-27 11:06:29.434042000,1850040.0,1142.0,1620.0,-1.0,-1.0,-1.0,3790.434
2026-05-27 11:06:30.075076000,1857190.0,1145.0,1622.0,-1.0,-1.0,-1.0,3791.0751
2026-05-27 11:06:30.716110000,1861103.3237305284,1145.999755859375,1623.999755859375,-1.0,-1.0,-1.0,3791.7161
2026-05-27 11:06:31.357144000,1856711.3244629502,1143.999755859375,1622.999755859375,-1.0,-1.0,-1.0,3792.3571
2026-05-27 11:06:31.998178000,1850991.3256836534,1143.999755859375,1617.999755859375,-1.0,-1.0,-1.0,3792.9982
