TimeStamp,Length_Sil,Height_Sil,Width_Phos,Height_Phos,Time_s,Volume
2026-05-27 10:03:19.000000000,-1,-1,,,0.0,
2026-05-27 10:03:19.641034000,-1,-1,,,0.641,
2026-05-27 10:03:20.282068000,-1,-1,,,1.2821,
2026-05-27 10:03:20.923102000,-1,-1,,,1.9231,
2026-05-27 10:03:21.564136000,-1,-1,,,2.5641,
2026-05-27 10:03:22.205170000,-1,-1,,,3.2052,
2026-05-27 10:03:22.846204000,-1,-1,,,3.8462,
2026-05-27 10:03:23.487238000,-1,-1,,,4.4872,
2026-05-27 10:03:24.128272000,-1,-1,,,5.1283,
2026-05-27 10:03:24.769306000,-1,-1,,,5.7693,
2026-05-27 10:03:25.410340000,-1,-1,,,6.4103,
2026-05-27 10:03:26.051374000,-1,-1,,,7.0514,
2026-05-27 10:03:26.692408000,-1,-1,,,7.6924,
2026-05-27 10:03:27.333442000,-1,-1,,,8.3334,
2026-05-27 10:03:27.974476000,-1,-1,,,8.9745,
2026-05-27 10:03:28.615510000,-1,-1,,,9.6155,
2026-05-27 10:03:29.256544000,-1,-1,,,10.2565,
2026-05-27 10:03:29.897578000,-1,-1,,,10.8976,
2026-05-27 10:03:30.538612000,-1,-1,,,11.5386,
2026-05-27 10:03:31.179646000,-1,-1,,,12.1796,
2026-05-27 10:03:31.820680000,-1,-1,,,12.8207,
2026-05-27 10:03:32.461714000,-1,-1,,,13.4617,
2026-05-27 10:03:33.102748000,-1,-1,,,14.1027,
2026-05-27 10:03:33.743782000,-1,-1,,,14.7438,
2026-05-27 10:03:34.384816000,-1,-1,,,15.3848,
2026-05-27 10:03:35.025849999,-1,-1,,,16.0258,
2026-05-27 10:03:35.666884000,-1,-1,,,16.6669,
2026-05-27 10:03:36.307918000,-1,-1,,,17.3079,
2026-05-27 10:03:36.948952000,-1,-1,,,17.949,
2026-05-27 10:03:37.589986000,-1,-1,,,18.59,
2026-05-27 10:03:38.231020000,-1,-1,,,19.231,
2026-05-27 10:03:38.872054000,-1,-1,,,19.8721,
2026-05-27 10:03:39.513088000,-1,-1,,,20.5131,
2026-05-27 10:03:40.154122000,-1,-1,,,21.1541,
2026-05-27 10:03:40.795156000,-1,-1,,,21.7952,
2026-05-27 10:03:41.436190000,-1,-1,,,22.4362,
2026-05-27 10:03:42.077224000,-1,-1,,,23.0772,
2026-05-27 10:03:42.718258000,-1,-1,,,23.7183,
2026-05-27 10:03:43.359292000,-1,-1,,,24.3593,
2026-05-27 10:03:44.000326000,-1,-1,,,25.0003,
2026-05-27 10:03:44.641360000,-1,-1,,,25.6414,
2026-05-27 10:03:45.282394000,-1,-1,,,26.2824,
2026-05-27 10:03:45.923428000,-1,-1,64.0,64.0,26.9234,64.0
2026-05-27 10:03:46.564462000,-1,-1,64.0,64.0,27.5645,64.0
2026-05-27 10:03:47.205496000,-1,-1,,,28.2055,
2026-05-27 10:03:47.846530000,-1,-1,,,28.8465,
2026-05-27 10:03:48.487564000,-1,-1,,,29.4876,
2026-05-27 10:03:49.128598000,-1,-1,,,30.1286,
2026-05-27 10:03:49.769632000,-1,-1,,,30.7696,
2026-05-27 10:03:50.410666000,-1,-1,,,31.4107,
2026-05-27 10:03:51.051699999,-1,-1,,,32.0517,
2026-05-27 10:03:51.692734000,-1,-1,,,32.6927,
2026-05-27 10:03:52.333768000,-1,-1,,,33.3338,
2026-05-27 10:03:52.974801999,-1,-1,,,33.9748,
2026-05-27 10:03:53.615836000,-1,-1,,,34.6158,
2026-05-27 10:03:54.256870000,-1,-1,,,35.2569,
2026-05-27 10:03:54.897904000,-1,-1,,,35.8979,
2026-05-27 10:03:55.538938000,-1,-1,,,36.5389,
2026-05-27 10:03:56.179972000,-1,-1,,,37.18,
2026-05-27 10:03:56.821006000,-1,-1,,,37.821,
