Circle,Circle,Circle
Area,Length,Width
605222.1451078404,759.371826171875,1014.776611328125
591091.2438943952,763.734375,985.422119140625
590350.7089266628,760.4874877929688,988.3895263671875
576370.6382363056,783.6563720703125,936.4536743164062
558312.9215692134,777.7007446289062,914.0612182617188
581983.2170544919,765.781982421875,967.6436157226562
570157.6165518753,790.8696899414062,917.9100341796875
604250.1031153332,761.337890625,1010.5304565429688
589744.6501142302,766.5687255859375,979.5419311523438
593468.3061696049,760.2403564453125,993.93212890625
568435.928105692,763.1019897460938,948.438232421875
563487.4113910892,783.3043212890625,915.9332275390625
567723.5054822149,779.6893920898438,927.097412109375
597948.0195891516,754.497802734375,1009.0567016601562
560182.2630814406,788.7329711914062,904.2936401367188
567440.4574306988,772.8935546875,934.7828369140625
600071.434137815,761.1199951171875,1003.8294677734375
590672.3187256781,764.1005859375,984.2517700195312
573581.2736549462,778.3994140625,938.2154541015625
596344.4464346381,763.46630859375,994.5289306640625
624562.6894406278,771.9140625,1030.189697265625
625053.192847825,765.8661499023438,1039.140380859375
618019.9859502661,773.9647216796875,1016.6968383789062
595869.4218227543,777.1962890625,976.1813354492188
568970.0216342874,776.4210815429688,933.0441284179688
584344.6237231131,775.6934814453125,959.155517578125
590090.9811431731,768.0160522460938,978.2701416015625
599961.2277915132,771.75439453125,989.8153686523438
606062.9047348816,768.5872192382812,1004.002197265625
598010.6782307626,768.5261840820312,990.7415771484375
598056.0948015412,772.0269775390625,986.3239135742188
609064.6026313257,771.1222534179688,1005.6578369140625
553297.5146795481,785.13427734375,897.2736206054688
618191.513808575,774.9898071289062,1015.6338500976562
607225.5256037458,773.6429443359375,999.3544921875
566799.5752722706,770.2970581054688,936.8744506835938
597500.9764439974,773.2252197265625,983.88134765625
620499.3048488669,769.5266723632812,1026.66259765625
614193.3659493156,769.657958984375,1016.0556030273438
607909.8609100784,770.6121215820312,1004.4156494140625
592238.7608184674,761.8679809570312,989.75390625
564180.2824592555,775.4959106445312,926.2932739257812
601258.1075462439,763.2640991210938,1002.9891357421875
592006.1244665317,756.2836303710938,996.6705322265625
612216.8374436791,780.1029052734375,999.2254638671875
614819.983224479,778.5188598632812,1005.5159301757812
